သန္နိဋ္ဌာနကရ (တိ),[ သန္နိဋ္ဌာန + ကရ + အ ] ,ဆုံးဖြတ်-ပြီးမြောက်-ယုံမှားမရှိ-ခြင်း၊ ယုံမှားကင်းခြင်းကို ပြုတတ်၍ ဧကန္တိကဖြစ်သော (အဆုံးအဖြတ်)။ ,
သန္နိဋ္ဌာနကရဏ (န),[ သန္နိဋ္ဌာန + ကရဏ ] ,ဆုံးဖြတ်ချက်ချခြင်း၊ ဆုံးဖြတ်ခြင်းကို ပြုခြင်း။ ,
သန္နိဋ္ဌာနကာရဏ (န) ,[ သန္နိဋ္ဌာန + ကာရဏ ] ,ဆုံးဖြတ်ခြင်း၏အကြောင်း။ ,
သန္နိဋ္ဌာနကာလ (ပု) ,[ သန္နိဋ္ဌာန + ကာလ ] ,ဆုံးဖြတ်-ပြီးဆုံး- ရာ -အချိန်- အခါ-ကာလ။ ,
သန္နိဋ္ဌာနဂဏန (ထီ၊န),[ သန္နိဋ္ဌာန + ဂဏန ] ,ဆုံးဖြတ်-ပိုင်းခြားမှတ်သား-ကြောင်း-စကားရပ်ကို ရေတွက်ခြင်း။ ,
သန္နိဋ္ဌာနဂဏနဒဿန (တိ),[ သန္နိဋ္ဌာနဂဏန + ဒဿန ] ,ဆုံးဖြတ်-ပိုင်းခြားမှတ်သား - ကြောင်းစကားရပ်ကို ရေတွက်ခြင်းကို ပြတတ်သော။,
သန္နိဋ္ဌာနဂ္ဂဟဏ (န) ,[ သန္နိဋ္ဌာန + ဂ္ဂဟဏ ] ,သန္နိဋ္ဌာန- သဒ္ဒါ။,
သန္နိဋ္ဌာနစေတနာ (ထီ) ,[ သန္နိဋ္ဌာန + စေတနာ ] ,ဆုံးဖြတ်-ပြီးမြောက်စေ-တတ်-ကြောင်းဖြစ်-သော စေတနာ။ ,
သန္နိဋ္ဌာနဇနန (န) ,[ သန္နိဋ္ဌာန + ဇနန ] ,ဆုံးဖြတ်ခြင်းကို ဖြစ်စေခြင်း။ ,
သန္နိဋ္ဌာနတ္ထ (ပု) ,[ သန္နိဋ္ဌာန + အတ္ထ ] ,ဆုံးဖြတ်ခြင်းအနက်၊ ဆုံးဖြတ်-အမြဲမှတ်-အပ်သော အနက်။ ,
သန္နိဋ္ဌာနတ္ထိက (တိ),[ သန္နိဋ္ဌာန + အတ္ထိက ] ,အဆုံးအဖြတ်-ဆုံးဖြတ်ခြင်း-ကို အလိုရှိသော။ ,
သန္နိဋ္ဌာနနိဒဿန (တိ),[ သန္နိဋ္ဌာန + နိဒဿန။  သံ + နိၑ္ဌာန-သက္ကတပိဋက။ ]   ,ဆုံးဖြတ်ခြင်းကို ညွှန်ပြသော၊ သဒ္ဒါ။ ,
သန္နိဋ္ဌာနန္တိက (တိ),[ သန္နိဋ္ဌာန + န္တိက= သန္နိဋ္ဌာနန္တ + ဏိက။(ပက္ကမနန္တိကာ- ကြည့်) သံနိၑ္ဌာ- နာန္တိက။ သက္ကတပိဋက။ ]     ,ဆုံးဖြတ်ခြင်း အဆုံးရှိသော။ သန္နိဋ္ဌာန်ချ- ဝန်-ချ-ခြင်း အဆုံးရှိသော။ ,
သန္နိဋ္ဌာနန္တိကလက္ခဏပသင်္ဂ (ပု) ,[ သန္နိဋ္ဌာနန္တိက + လက္ခဏ + ပသင်္ဂ ] ,ဆုံးဖြတ်ခြင်း အဆုံးရှိသောလက္ခဏာ၌ လျဉ်းပါးခြင်း။ ,
သန္နိဋ္ဌာနပဋိည (တိ) ,[ သန္နိဋ္ဌာနာ + ပဋိညာ ] ,ဆုံးဖြတ်ပြီးသော- ခိုင်မြဲသော-ဝန်ခံခြင်း-ပတိညာဉ်- ရှိသော။ ,
သန္နိဋ္ဌာနပဒ (န) ,[ သန္နိဋ္ဌာန + ပဒ ] ,သန္နိဋ္ဌာန်ပုဒ်၊ ဆုံးဖြတ်ကြောင်းဖြစ်သောပုဒ်၊ ဆုံးဖြတ်-အမြဲမှတ်-အပ်သောအနက်ကို ပြတတ်သောပုဒ်။ ,
သန္နိဋ္ဌာနပဒသင်္ဂဟိတ (တိ) ,[ သန္နိဋ္ဌာနပဒ + သင်္ဂဟိတ ] ,သန္နိဋ္ဌာန်ပုဒ်ဖြင့် ရေတွက်အပ်သော။ ,
သန္နိဋ္ဌာနပုဗ္ဗက (တိ),[ သန္နိဋ္ဌာန + ပုဗ္ဗက ] ,ဆုံးဖြတ်ခြင်းရှေးရှိသော၊ သန္နိဋ္ဌာန်-ဆုံးဖြတ်အပ်သော အနက်-ရှေးရှိသော။ ,
သန္နိဋ္ဌာနလက္ခဏ (တိ),[ သန္နိဋ္ဌာန + လက္ခဏ ။အာရမ္မဏဿ သန္နိဋ္ဌာနံ လက္ခဏံ ယဿတိ သန္နိဋ္ဌာနလက္ခဏော။ မဏိမဉ္ဇူ၊ ၁။ ၃၂၁။ ] ,(အာရုံကို) ဆုံးဖြတ်ခြင်းလက္ခဏာရှိသော။ ,
သန္နိဋ္ဌာနဝစန (န),[ သန္နိဋ္ဌာန + ဝစန ] ,(၁) ကောင်းစွာ- တည်တံ့-တန့်ရပ်-သတ်မှတ်-ခြင်းကို ဟောသောသဒ္ဒါ။ (၂)ဆုံးဖြတ်-ပိုင်းခြား မှတ်သား- ကြောင်း သဒ္ဒါ။,
သန္နိဋ္ဌာနဝါဒ (တိ) ,[ သန္နိဋ္ဌာန + ဝါဒ ] ,ကောင်းစွာတည်တံ့ခြင်းကို ဆိုတတ်သော။ (တိတိကျကျ ပြတ်ပြတ်သားသား) ဆုံးဖြတ်၍ ဆိုတတ်သော၊ သူ။ ထိရဝါဒ - လည်းကြည့်။,
သန္နိဋ္ဌာနသံသယတ္ထ (ပု) ,[ သန္နိဋ္ဌာန + သံသယ + အတ္ထ ] ,"ဆုံးဖြတ်-အမြဲမှတ်-အပ်သောအနက်၊ ယုံမှားအပ်သောအနက်၊ သန္နဋ္ဌာန်, သံသယ အနက်။ ",
သန္နိဋ္ဌာနသံသယပဒဝိသေသ (ပု) ,[ သန္နိဋ္ဌာန - သံသယ + ပဒ + ဝိသေသ ] ,"သန္နိဋ္ဌာန်, သံသယပုဒ်တို့၏ အထူး၊ (ဆုံးဖြတ်ခြင်းအနက် ကို ပြတတ်သောပုဒ်, ယုံမှားအပ်သော အနက်ကို ပြတတ်သော ပုဒ်တို့၏ အထူး။) ",
သန္နိဋ္ဌာနသံသယဘေဒ (ပု) ,[ သန္နိဋ္ဌာနသံသယ + ဘေဒ ] ,"သန္နိဋ္ဌာန်, သံသယတို့၏ - ကွဲပြားခြင်း-အထူးအပြား။ ",
သန္နိဋ္ဌာနသံသယပဒသင်္ဂဟိတ (တိ) ,[ သန္နိဋ္ဌာန - သံသယပဒ + သင်္ဂဟိတ ] ,"သန္နိဋ္ဌာန်, သံသယပုဒ်တို့ဖြင့် ရေတွက်အပ်သော။ ",
သန္နိဋ္ဌာနာဘာဝ (ပု) ,[ သန္နိဋ္ဌာနာ + အဘာဝ ] ,ဆုံးဖြတ်ခြင်း၏ မရှိခြင်း။ ,
သန္နိဋ္ဌာပက (တိ) ,[ သံ + နိ + ဌာ + ဏာပေ + ဏွု။ ထီ-၌ သန္နိဋ္ဌာပိကာ။ ] ,(၁) ဆုံးဖြတ်တတ်သော၊ အပြီးအဆုံးသို့ ရောက်စေတတ်သော၊ ကောင်းစွာ- တည်တံ့စေ- ပြီးမြောက်စေ- တတ်သော။ (ပု) (၂) သန္နိဋ္ဌာပကထေရ်။ (သန္တိပဒ-ဟုဆိုအပ်သော နိဗ္ဗာန်၌ ကောင်းစွာတည်တတ်သော မထေရ်။),
သန္နိဋ္ဌာပကစိတ္တ (န) ,[ သန္နိဋ္ဌာပက + စိတ္တ ] ,သန္နိဋ္ဌာပကစိတ်၊ ဆုံးဖြတ်တတ်သော စိတ်၊ အပြီးအဆုံးသို့ ရောက်စေတတ်သော စိတ်၊ ကောင်းစွာ- တည်တံ့စေ-ပြီးမြောက်စေ-တတ်သောစိတ်။ ,
 သန္နိဋ္ဌာပကစေတနာ (ထီ) ,[ သန္နိဋ္ဌာပက + စေတနာ ] ,သန္နိဋ္ဌာပကစေတနာ၊ အပြီးဆုံးဖြတ်သော စေတနာ၊ အပြီးအဆုံးသို့ ရောက်စေ တတ်သော စေတနာ၊ ကောင်းစွာ - တည်တံ့စေ-ပြီးမြောက်စေ - တတ်သော စေတနာ၊ (သတ္တမဇောစေတနာ) ။ ,
သန္နိဋ္ဌာပကစေတနာဂတိက (တိ),[ သန္နိဋ္ဌာပက-စေတနာ + ဂတိက ] ,သန္နိဋ္ဌာပကစေတနာ အလားရှိသော။ ,
သန္နိဋ္ဌာပကဇဝနဝီထိ (ထီ) ,[ သန္နိဋ္ဌာပက + ဇဝန + ဝီထိ ] ,သန္နိဋ္ဌာပကဇောဝီထိ၊ သန္နိဋ္ဌာပက ဇောစိတ်အစဉ်။ ,
သန္နိဋ္ဌာပကတ္ထေရ (ပု),[ သန္နိဋ္ဌာပက + ထေရ ] ,သန္နိဋ္ဌာပကထေရ်။ ,
သန္နိဋ္ဌာပကဝီထိ (ထီ),[ သန္နိဋ္ဌာပက + ဝီထိ ] ,သန္နိဋ္ဌာပကဇဝနဝီထိ-ကြည့်။ ,
သန္နိဋ္ဌာပန (န) ,[ သံ + နိ + ဌာ + ဏာပေ + ယု။  သံနိၑ္ဌာပန- သက္ကတပိဋက။ ] ,(၁) ပြီးစေခြင်း၊ ကောင်းစွာ- တည်တံ့စေ- ပိုင်းခြားမှတ်သား- ဆုံးဖြတ်-ခြင်း။ (၂) ပြီးစေကြောင်း- ကောင်းစွာ- တည်တံ့စေ- ပိုင်းခြားမှတ်သား- ဆုံးဖြတ်- ကြောင်း (စကား)။,
သန္နိဋ္ဌာပနတ္ထ (တိ) ,[ သန္နိဋ္ဌာပန + အတ္ထ ] ,ကောင်းစွာ- တည်တံ့စေ-ပိုင်းခြားမှတ်သား-ဆုံးဖြတ်-ခြင်းအနက်ရှိသော။ ,
သန္နိဋ္ဌာပနဝစန (န) ,[ သန္နိဋ္ဌာပန + ဝစန ] ,ကောင်းစွာ- တည်တံ့စေ-ပိုင်းခြားမှတ်သား- ဆုံးဖြတ်- ကြောင်းဖြစ်သော- စကား- သဒ္ဒါ၊ ကောင်းစွာ - တည်တံ့စေ - ပိုင်းခြားမှတ်သား- ဆုံးဖြတ်-ခြင်းကို ဟောသောသဒ္ဒါ။ ,
သန္နိဋ္ဌာပယမာန (တိ),[ သံ + နိ + ဌာ + ဏာပယ + မာန ] ,ကောင်းစွာ-တည်တံ့စေ- ပိုင်းခြားမှတ်သား- ဆုံးဖြတ်-တတ်သော၊ သူ။ ,
သန္နိဋ္ဌာပိကစေတနာ (ထီ) ,[ သန္နိဋ္ဌာပိကာ + စေတနာ ] ,သန္နိဋ္ဌာပကစေတနာ- ကြည့်။ ,
သန္နိဋ္ဌာပေတဗ္ဗ (တိ) ,[ သံ + နိ + ဌာ + ဏာပေ + တဗ္ဗ ] ,သန္နိဋ္ဌာတဗ္ဗ- ကြည့်။ ,
သန္နိဋ္ဌာပေတိ (ကာ၊ကြိ) ,[ သံ + နိ + ဌာ + ဏာပေ + တိ။ သံနိၑ္ဌာပေတိ - သက္ကတပိဋက ]     ,သန္နိဋ္ဌပေတိ- ကြည့်။ ,
သန္နိဋ္ဌေယျ (တိ) ,[ သံ + နိ + ဌာ + ဏျ ] ,သန္နိဋ္ဌာ- တဗ္ဗ- ကြည့်။  သန္နိဋ္ဌေယျဓမ္မပဋ္ဌာန- ကြည့်။,
သန္နိဋ္ဌေယျဓမ္မ (ပု),[ သန္နိဋ္ဌေယျ + ဓမ္မ ],ကောင်းစွာ-တည်တံ့စေ-ပြီးမြောက်စေ-ဆုံးဖြတ်-အပ်သော တရား။,
သန္နိဋ္ဌေယျဓမ္မပဒဋ္ဌာန (တိ) ,[ သန္နိဋ္ဌေယျဓမ္မ + ပဒဋ္ဌာန ] ,ကောင်းစွာ-  တည်တံ့စေ- ပြီးမြောက်- စေ- ဆုံးဖြတ်-အပ်သောတရားလျှင် နီးသော အကြောင်းရှိသော။ ,
သန္နိတာဠယံ (ကြိ),[ သံ + နိ + တာလ + ဏယ + အံ ] ,သန္နိတာဠယိံ- ကြည့်။,
သန္နိတာဠယတိ (ကြိ) ,[ သံ + နိ + တဠ + ဏယ + တိ။ နီတိ၊ ဓာတု။ ၃၅၀။ သံ + နိ + တာဍယတိ-သံ။ ]     ,ရိုက်နှက်-ပုတ်ခတ်-၏။ အောက်ပုဒ်ကြည့်။ ,
သန္နိတာဠယိံ (ကြိ) ,[ သံ + နိ + တာဠ + ဏယ + ဣံ ] ,ရိုက်နှက် - ပုတ်ခတ်-ပြီ။ ,
သန္နိတုဒက (တိ),[ သံ + နိ + တုဒ + ဏွု။  နီတိ၊ ဓာတု။ ၁၀၅။ ] ,ထက်ဝန်းကျင်မှ အမြဲမပြတ်ကပ်၍ - ထိုးဆွ- နှိပ်စက်- ကြောင်းဖြစ်သည့်- နှင်တံ- စကား။ ,
သန္နိတောဒက (တိ) ,[ သံ + နိ + တုဒ + ဏွု။ သန္နိတုဒက -လည်းကြည့်။ ]    ,(၁)ကောင်းစွာနှိပ်စက်ကြောင်းဖြစ်သော- နှင်တံ- စကား။ (န) (၂) ထက်ဝန်းကျင်မှ ဖိနှိပ်သည်၏အစွမ်းဖြင့် ထိုးဆွခြင်း။ ,
သန္နိတောဒနကိရိယာ (ထီ) ,[ သန္နိတောဒန + ကိရိယာ။  (န) သံ + နိ + တောဒန - သံ။ ]    ,ထက်ဝန်းကျင်မှ ဖိနှိပ်သည်၏အစွမ်းဖြင့် ထိုးဆွခြင်း- အပြုအမူ- အမူအရာ။ ,
သန္နိတွာ (ကြိ၊ဝိ) ,[ သံ + နိ + တွာ ] ,ကောင်းစွာဆောင်၍ (ဆုံးဖြတ်၍။ သျ။ ၃၂၇)။,
သန္နိဒဟတိ (ကြိ) ,[ သံ + နိ + ဓာ + အ + တိ။ နီတိ၊ ဓာတု၊ ၁၀၅။ နိရုတ္တိ။ ၆၁၂။ နိဒဟာတိ။ သန္နိဒဓာတိ-သံ။ ]  ,ကောင်းစွာ- သိုမှီး - သိမ်းဆည်း- မြှုပ်နှံ - ၏။ အောက်ပုဒ်ကြည့်။ ,
သန္နိဒဟိတုံ (ကြိ၊ဝိ) ,[ သံ + နိ + ဓာ + တုံ ] ,ကောင်းစွာ-သိုမှီး - သိမ်းဆည်း-မြှုပ်နှံခြင်းငှာ။ ,
သန္နိဓာန (န),[ သံ + နိ + ဓာ + ယု။ နိရုတ္တိ။ ၅၄၃-နှာ။ သံနိဓာန - သံ။ သံဏိဟာဏ-ပြာ၊ အဒ္ဓမာဂဓီ။ ]   ,(၁) ကောင်းစွာ - သိုမှီး-သိမ်းဆည်း-မြှုပ်နှံ-ခြင်း။ (၂) ကောင်းစွာ- သိုမှီး- သိမ်းဆည်း- ရာဌာန။ (၃) အနီး၌တည်-နီးကပ်-ခြင်း= အနီးအနား။,
သန္နိဓာပန (န) ,[ သံ + နိ +ဓာ + ဏာပေ + ယု ] ,ကောင်းစွာ-သိုမှီး-သိမ်းဆည်း-မြှုပ်နှံထား- စေခြင်း။ ,
သန္နိဓာပိတ (တိ) ,[ သံ + နိ + ဓာ + ဏာပေ + တ ] ,ကောင်းစွာ- သိုမှီး-  သိမ်းဆည်း- မြှုပ်နှံထား- အနီး၌တည်-စေအပ်သော။ ,
သန္နိဓာယ (ကြိ၊ဝိ),[ သံ + နိ + ဓာ + တွာ။   သန္နိ-ဒဟတိ-မှ။ ] ,ကောင်းစွာ-သိုမှီး-သိမ်းဆည်း - မြှုပ်နှံထား-၍။ ,
သန္နိဓိ (ထီ၊ပု) ,[ သံ + နိ + ဓာ + ဣ။  သမ္မာ နိဓာနံ ဌပနံ သန္နိဓိ။ ကင်္ခါ၊ ဋီ၊ သစ်။ ၃၈၈။ သန္နိဓာနံ သန္နိဓိ ---- သန္နိဓိယတေတိ သန္နိဓိ။ သီ၊ ဋီ၊ သစ်၊ ၁။ ၃၅၆-၇။ နိရုတ္တိ။ ၇၉၂။ သန္နိဓိ- သံ။ သံနိဟိ၊ သံဏဟိ-ပြာ၊ အဒ္ဓမာဂဓီ။ ] ,(၁)ကောင်းစွာ-သိုမှီး-သိမ်းဆည်း-စောင့်ရှောက်- မြှုပ်နှံထား-ခြင်း။ (၂) ကောင်းစွာ-သိုမှီး- သိမ်းဆည်း- စောင့်ရှောက်- မြှုပ်နှံထား- အပ်သော ပစ္စည်း ဝတ္ထု။ (၃) သန္နိဓိသိက္ခာပုဒ်၊ သန္နိဓိ-ကာရကသိက္ခာပုဒ်။ ,
သန္နိဓိကတ (တိ) ,[ သန္နိဓိ + ကတ ] ,သိုမှီး-သိမ်းဆည်း-ခြင်းကို ပြုအပ်သော (အာမိသ) ။ (ဝိ၊ ၄။ သျ ။ စံကျောင်း) (၂) ရောက်သောနေ့ပင်ခင်းတတ်သောပုဂ္ဂိုလ်ကို မပေးမချုပ် သိုမှီးထားသော (ပုဆိုး)။ ,
သန္နိဓိကတာမိသ (န) ,[ သန္နိဓိကတ + အာမိသ ] ,သိုမှီး - သိမ်းဆည်း- ခြင်းကို ပြုအပ်သော အာမိသ။,
သန္နိဓိကာရ (တိ),[ သန္နိဓိ + ကရ + ဏ = ကာရ ] ,(၁)သိုမှီး-သိမ်းဆည်း-ခြင်းကို- ပြုခြင်းရှိသော။ (၂) ပြုအပ်သော-သိုမှီး-သိမ်းဆည်း-ခြင်းရှိသော။ (၃) သိုမှီး-သိမ်းဆည်း-ခြင်းဖြင့်ပြုအပ်သော။,
သန္နိဓိကာရက ၁ (တိ),[ သန္နိဓိ + ကာရ = သန္နိဓိကာရ +က ] ,(၁)ပြုအပ်သော-သိုမှီး-သိမ်းဆည်း-ခြင်းရှိသော။ (၂) သိုမှီး-သိမ်းဆည်း-ခြင်းကိုပြုခြင်းရှိသော။ ,
သန္နိဓိကာရက ၂ (ကြိ၊ဝိ) ,[ သန္နိဓိ + ကာရက။ နိရုတ္တိ။ ၃၀၄-ကြည့်။ ]     ,သိုမှီး- သိမ်းဆည်း-ခြင်းကိုပြု၍။ ,
သန္နိဓိကာရကသညီ (တိ),[ သန္နိဓိကာရက + သညာ + ဤ ] ,သိုမှီး- သိမ်းဆည်း - ခြင်းကိုပြုခြင်းရှိသော ခဲဘွယ် ဘောဇဉ်ဟု အမှတ်ရှိသော။,
သန္နိဓိကာရကသိက္ခာပဒ (န) ,[ သန္နိဓိကာရက + သိက္ခာပဒ ] ,သန္နိဓိကာရကသိက္ခာပုဒ်။,
