undefined"O 1","ဩ ၁","undefined","",""ဩ" အက္ခရာ၊ "ဩ"သရ။ လေးဆယ့်တစ်လုံး (လေးဆယ့်သုံးလုံး)သော အက္ခရာ, ရှစ်လုံး (ဆယ်လုံး)သော သရတို့တွင် ရှစ်လုံးမြောက်၊ လည်ချောင်း, နှုတ်ခမ်းအရပ်၌ ဖြစ်သော (ကဏ္ဌဩဋ္ဌဇ)၊ ရှည်သောအသံ ဖြင့် ရွက်ဆိုအပ်သော (ဒီဃ)၊ နိဂ္ဂဟိတ်မှတပါးသော ဗျည်းတို့၏ မှီရာဖြစ်သော (နိဿယ)-အက္ခရာ-သရ။ ကစ္စည်း။ ၂၊ ၄၊ ၅။ ရူ။ ၂၊ ၃၊၅။ နီတိ၊ သုတ္တ။ ၂၊ ၃၊ ၅။ မောဂ်။ ၁။ ၅။ (မောဂ်၊ ၁။ ၄-၌ ရဿမည်သော "ဩတ်"သရကို ဆိုထားသည်။)"
"Okaḍḍhati (kri)","ဩကဍ္ဎတိ (ကြိ)","[အဝ + ကဍ္ဎ + အ + တိ]","[ava + kaḍḍha + a + ti]","ဆွဲငင် - ယူဆောင် - ၏။"
"Okanthati (kri)","ဩကန္ထတိ (ကြိ)","[အဝ + ကတိ + အ + တိ]","[ava + kati + a + ti]","ဖြတ် - လှီးဖြတ် - ၏။"
"Okanthana(na)","ဩကန္ထန(န)","[အဝ + ကတိ + ယု]","[ava + kati + yu]","ဖြတ် - လှီးဖြတ် - ခြင်း။"
"Okantheyyuṃ (kri)","ဩကန္ထေယျုံ (ကြိ)","[အဝ + ကတိ + ဧယျုံ]","[ava + kati + eyyuṃ]","ဖြတ် - လှီးဖြတ် - ကုန်ရာ၏။ ဩကန္တတိ-ကြည့်။ ဩက္ကန္တေယျုံ-လည်းကြည့်။"
"Okandati (kri)","ဩကန္ဒတိ (ကြိ)","[အဝ + ကန္ဒ + အ + တိ]","[ava + kanda + a + ti]","နှိမ့်ချရိုသေစွာ-သိစေ-အသိပေး-ပါ၏။ ပန်ကြားပါ၏။"
"Okandāmase (kri)","ဩကန္ဒာမသေ (ကြိ)","[အဝ + ကန္ဒ + အ + မ။ ","[ava + kanda + a + ma. ","သေ-လာ။] နှိမ့်ချရိုသေစွာ-သိစေ-အသိပေး-ပါကုန်၏။ ပန်ကြားပါကုန်၏။ အထက်ပုဒ်ကြည့်။"
"Okapuṇṇa (ti)","ဩကပုဏ္ဏ (တိ)","[ဩက + ပုဏ္ဏ] ","[oka + puṇṇa] ","ရေဖြင့်ပြည့်သော။"
"Okappati (kri)","ဩကပ္ပတိ (ကြိ)","[အဝ + ကပ္ပ + အ + တိ]","[ava + kappa + a + ti]","သက်ဝင်-ယုံကြည်-နှလုံးသွင်းဆုံးဖြတ်-၏။"
"Okappana (thī, na)","ဩကပ္ပန (ထီ၊ န)","[အဝ + ကပ္ပ + ယု]","[ava + kappa + yu]","(၁) (က) (အာရုံသို့) သက်ဝင်-ပြေးဝင်-ယုံကြည်-ဆုံးဖြတ်-ခြင်း။ (အာရုံသို့) သက်ဝင်-ပြေးဝင်-ယုံကြည်-ဆုံးဖြတ်-တတ်သော တရား (သဒ္ဓါတရား)။ (ခ) အလွန်ကြည်ညိုခြင်း။ (၂) ကြံဆခြင်း။"
"Okappanapasāda (pu)","ဩကပ္ပနပသာဒ (ပု)","[ဩကပ္ပန + ပသာဒ]","[okappana + pasāda]","သက်ဝင်-ယုံကြည်-ဆုံးဖြတ်-တတ်သော သဒ္ဓါတရားဖြင့် ကြည်ညိုခြင်း။"
"Okappanalakkhaṇa (ti)","ဩကပ္ပနလက္ခဏ (တိ)","[ဩကပ္ပန + လက္ခဏ]","[okappana + lakkhaṇa]","သက်ဝင်-ယုံကြည်-ဆုံးဖြတ်-ခြင်း လက္ခဏာရှိသော။"
"Okappanavacana (na)","ဩကပ္ပနဝစန (န)","[ဩကပ္ပန + ဝစန]","[okappana + vacana]","ကြံဆခြင်းကို ပြဆိုသောစကား။"
"Okappanasaddhā (thī)","ဩကပ္ပနသဒ္ဓါ (ထီ)","[ဩကပ္ပနာ + သဒ္ဓါ]","[okappanā + saddhā]","သက်ဝင်၍ - ပိုင်းခြား၍ - ဆုံးဖြတ်၍ - ယုံကြည်သော သဒ္ဓါတရား၊ ဩကပ္ပနသဒ္ဓါ။ ဩကပ္ပန - လည်းကြည့်။"
"Okappanasiddha (ti)","ဩကပ္ပနသိဒ္ဓ (တိ)","[ဩကပ္ပန + သိဒ္ဓ]","[okappana + siddha]","ကြံံစည်-ကြံဆ-ခြင်းဖြင့်ပြီးသော၊ ယုံကြည်သောသဒ္ဓါတရားဖြင့်ပြီးသော။ "
"Okappanasiddhi (thī)","ဩကပ္ပနသိဒ္ဓိ (ထီ)","[ဩကပ္ပန + သိဒ္ဓိ]","[okappana + siddhi]","ကြံစည်-ကြံဆ-ခြင်းဖြင့်ပြီးခြင်း၊ ယုံကြည်သော သဒ္ဓါတရားဖြင့် ပြီးခြင်း။ အထက်ပုဒ်လည်းကြည့်။"
"Okappanahetubhūta (ti)","ဩကပ္ပနဟေတုဘူတ (တိ)","[ဩကပ္ပနဟေတု + ဘူတ]","[okappanahetu + bhūta]","သက်ဝင်-ယုံကြည်-ဆုံးဖြတ်-ခြင်း၏ အကြောင်းဖြစ်၍ ဖြစ်သော။"
"Okappaniya (ti) ","ဩကပ္ပနိယ (တိ) ","[ဩကပ္ပန + ဣယ]","[okappana + iya]","ယုံကြည်ခြင်းငှါ ထိုက်သော၊ ယုံကြည်ထိုက်သော။"
"Okappanīya (ti)","ဩကပ္ပနီယ (တိ)","[အဝ + ကပ္ပ + အနီယ]","[ava + kappa + anīya]","(၁)သက်ဝင်ယုံကြည်သော။ (၂) ယုံကြည်-အပ်-ထိုက်-သော။"
"Okappanī (ni) yapada (na)","ဩကပ္ပနီ (နိ) ယပဒ (န)","[ဩကပ္ပနီ (နိ) ယ + ပဒ]","[okappanī (ni) ya + pada]","ဩကပ္ပနီ (နိ) ယပုဒ်။"
"Okappanī (ni) yasaddhā (thī)","ဩကပ္ပနီ (နိ) ယသဒ္ဓါ (ထီ)","[ဩကပ္ပနီ(နိ)ယာ + သဒ္ဓါ]","[okappanī(ni)yā + saddhā]","သက်ဝင်ယုံကြည်သောသဒ္ဓါ၊ ဩကပ္ပနီ(နိ)ယသဒ္ဓါ။ (သက်ဝင်ယုံကြည်အပ်သော ရတနာသုံးပါး, ကံ, ကံအကျိုး တရားတို့၌ မမှိတ်မသုန် ဆုံးဖြတ်ချက်ချလျက် သက်ဝင်ယုံကြည်သောတရား။)"
"Okappanthi (kri)","ဩကပ္ပန္ထိ (ကြိ)","[အဝ + ကပ္ပ + အန္တိ]","[ava + kappa + anti]","သက်ဝင်-ယုံကြည်-နှလုံးသွင်းဆုံးဖြတ်-ကုန်၏။ ဩကပ္ပတိ-ကြည့်။"
"Okappayiṃ (kri)","ဩကပ္ပယိံ (ကြိ)","[အဝ + ကပ္ပ + ဣံ]","[ava + kappa + iṃ]","သက်ဝင်-ယုံကြည်-နှလုံးသွင်းဆုံးဖြတ်-ပြီ။ ဩကပ္ပတိ-ကြည့်။"
"Okappasadda (pu)","ဩကပ္ပသဒ္ဒ (ပု)","[ဩကပ္ပ + သဒ္ဒ]","[okappa + sadda]","ဩကပ္ပသဒ္ဒါ။ ဩကပ္ပနီ (နိ) ယပဒ-ကြည့်။"
"Okappetabba (ti)","ဩကပ္ပေတဗ္ဗ (တိ)","[အဝ + ကပ္ပ + ဏေ + တဗ္ဗ]","[ava + kappa + ṇe + tabba]","သက်ဝင်ယုံကြည်အပ်သော။"
"Okappeti (kri)","ဩကပ္ပေတိ (ကြိ)","[အဝ + ကပ္ပ + ဏေ + တိ]","[ava + kappa + ṇe + ti]","သက်ဝင်-ယုံကြည်-နှလုံးသွင်းဆုံးဖြတ်-၏။ (သဒ္ဒတ္ထ။) များစွာမြတ်နိုးခြင်းကို ဖြစ်စေ၏။ (အဓိပ္ပါယတ္ထ။)"
"Okappetvā (kri, vi)","ဩကပ္ပေတွာ (ကြိ၊ ဝိ)","[အဝ + ကပ္ပ + ဏေ + တွာ]","[ava + kappa + ṇe + tvā]","သက်ဝင်-ယုံကြည်-ဆုံးဖြတ်-၍။ "
"Okappenta (ti)","ဩကပ္ပေန္တ (တိ)","[အဝ + ကပ္ပ + ဏေ + အန္တ]","[ava + kappa + ṇe + anta]","(အာရုံသို့) သက်ဝင်-ယုံကြည်-နှလုံးသွင်း-ဆုံးဖြတ်-သော၊ သူ။"
"Okappemi (kri)","ဩကပ္ပေမိ (ကြိ)","[အဝ + ကပ္ပ + ဏေ + မိ]","[ava + kappa + ṇe + mi]","သက်ဝင်-ယုံကြည်-နှလုံးသွင်းဆုံးဖြတ်-၏။ ဩကပ္ပေတိ-ကြည့်။"
"Okappeyyaṃ (kri)","ဩကပ္ပေယျံ (ကြိ)","[အဝ + ကပ္ပ + ဏေ + ဧယျံ]","[ava + kappa + ṇe + eyyaṃ]","သက်ဝင်-ယုံကြည်-နှလုံးသွင်းဆုံးဖြတ် - ရာ၏။ ဩကပ္ပတိ-ကြည့်။"
"Okappeyyuṃ (kri)","ဩကပ္ပေယျုံ (ကြိ)","[အဝ + ကပ္ပ + ဏေ + ဧယျုံ]","[ava + kappa + ṇe + eyyuṃ]","သက်ဝင်-ယုံကြည်-နှလုံးသွင်းဆုံးဖြတ်-ကုန်ရာ၏။ ဩကပ္ပတိ-ကြည့်။"
"Okappehi (kri)","ဩကပ္ပေဟိ (ကြိ)","[အဝ + ကပ္ပ + ဏေ + ဟိ]","[ava + kappa + ṇe + hi]","သက်ဝင်-ယုံကြည်-နှလုံးသွင်းဆုံးဖြတ်-လော။ (သဒ္ဒတ္ထ။) များစွာမြတ်နိုးခြင်းကိုဖြစ်စေလာ။ (အဓိပ္ပါယတ္ထ။) ဩကပ္ပေတိ-ကြည့်။"
"Okappessati (kri)","ဩကပ္ပေဿတိ (ကြိ)","[အဝ + ကပ္ပ + ဏေ + ဿတိ]","[ava + kappa + ṇe + ssati]","သက်ဝင်-ယုံကြည်-နှလုံးသွင်းဆုံးဖြတ်-လတ္တံ့။ ဩကပ္ပေတိ-ကြည့်။"
"Okamoka (pu, na)","ဩကမောက (ပု၊ န)","[ဩက + ဩက။","[oka + oka.","မ-ကားအာဂုံ။] (၁) ရေဟုဆိုအပ်သော နေရာအိမ်။ (၂)အလုံးစုံသော-တွယ်တာတပ်မက်မှု-တဏှာ။"
"Okampetvā (kri, vi)","ဩကမ္ပေတွာ (ကြိ၊ ဝိ)","[အဝ+ကမ္ပ+ဏေ+တွာ]","[ava+kampa+ṇe+tvā]","လှုပ်စေ၍၊ အောက်သို့-ညွတ်-ငြိမ့်-၍။"
"Okallaka (pu)","ဩကလ္လက (ပု)","[အဝ+ကလ+ဏွု။","[ava+kala+ṇvu.","ဩကလ္လ+က။ နိဟီနဘာဝေန ကလိတဗ္ဗော သင်္ချာ-တဗ္ဗောတိ ဩကလ္လကော။ ... အထ ဝါ-အဝကလ္လနံ အဝကမ္ဗနံ ဩကလ္လံ၊ ဩကလ္လံ ဧတဿ အတ္ထီတိ ဩကလ္လကော။ ဇာ၊ ဋီ၊ သစ်။ အဝ+ကလ္လ+က (သမသန္တ)။ ကလ္လ-တော ယုတ္တတော အဝဂတောတိ ဩက-လ္လကော။ စလင်းဂံ၊ ၁။ ၂၅၄။ အဝ(ဩ)+ကပ္ပ+အက။] အထီးကျံမွဲ သူဆင်းရဲ။ (အောက်ပိုင်းကျိုက်သော၊သူ။ ရွှေဥမင်သျ၊ ၂။ ၂၅၄။ အောက်ပိုးကျိုက်သော၊သူ။) ဩတလ္လက-လည်းကြည့်။"
"Okasārī (ti)","ဩကသာရီ (တိ)","[ဩက+သရ+ဏီ]","[oka+sara+ṇī]","(ရူပဓာတ်စသော) အိမ်၌ဖြစ်သော။ (ရူပက္ခန္ဓာဟု ဆိုအပ်သော အမြဲနေအိမ်၌ တဏှာဒိဋ္ဌိ အစွမ်းဖြင့်ကပ်တတ် ဖြစ်တတ်သောတရား။ သံ၊ဋ္ဌ၊သျ။)"
"Okassa (kri, vi)","ဩကဿ (ကြိ၊ ဝိ)","[အဝ+ကဿ(ကသ)+တွာ။","[ava+kassa(kasa)+tvā.","နီတိ၊ ဓာ။ ၁၇၄၊ ၁၈၃။ ဓာတွတ္ထ။ ၅၂၊ ၅၃။] ဆွဲငင်၍၊ အနိုင်အထက်ဆွဲငင်၍၊ ညှဉ်းဆဲနှိပ်စက်၍၊ အနိုင်ကျင့်၍။"
"Okassayāmi (kri)","ဩကဿယာမိ (ကြိ)","[အဝ+ကဿ+ဏယ+မိ။ ","[ava+kassa+ṇaya+mi. ","နီတိ၊ ဓာ။ ၁၈၃။] ဆွဲငင်၏။"
"Okāra 1 (pu)","ဩကာရ ၁ (ပု)","[ဩ+ကာရ]","[o+kāra]","ဩ-အက္ခရာ။"
"Okāra 2 (pu) ","ဩကာရ ၂ (ပု) ","[အဝ+ကရ+ဏ]","[ava+kara+ṇa]","ယုတ်ညံ့သည်၏အဖြစ်၊ အယုတ်၊ ယုတ်ညံ့ခြင်း။ "
"Okāraniddhāraṇa (thi, na)","ဩကာရနိဒ္ဓါရဏ (ထိ၊ န)","[ဩကာရ+နိဒ္ဓါရဏ]","[okāra+niddhāraṇa]","သဗ္ဗေသဉ္စ လောကိယဓမ္မာနံ .. အာဒီနဝ - ဝုတ္တိယာ ဩကာသနိဒ္ဓါရဏေန အာဒီနဝ ဝိစယော။ နေတ္တိ၊ ဋ္ဌ။ ၂၃။"
"Okārantha (ti)","ဩကာရန္ထ (တိ)","[ဩကာရ + အန္တ]","[okāra + anta]","ဩ-အက္ခရာ အဆုံးရှိသော။"
"Okārāgama (pu)","ဩကာရာဂမ (ပု)","[ဩကာရ+အာဂမ]","[okāra+āgama]","ဩ-အက္ခရာလာခြင်း။ အောက်ပုဒ်ကြည့်။"
"Okārādesa (pu)","ဩကာရာဒေသ (ပု)","[ဩကာရ+အာ‌ဒေသ]","[okāra+ādesa]","ဩ-အက္ခရာအပြု။"
"Okāsa 1 (pu, na)","ဩကာသ ၁ (ပု၊ န)","[အဝ+ကာသ+ဏ။ ","[ava+kāsa+ṇa. ","သပြေကန်၊ သျ၊ ၁။ ၅၈၄။ အဝ+ကသ+ဏ။ သမ္မော၊ ယော။ အဝကသန္တိ ပတိဋ္ဌာဟန္တိ ကတ္တုမ္မာနိ ဧတ္ထာတိ ဩကာသော။ ပုဒ်စစ်။ ၄၇။ ဩကာၐ (သံ)] (၁)အကြောင်း။ (၂) ဘုံ၊ အရပ်ဒေသ၊ ဌာန။ (၃) ဖြစ်-တည်-ရာ၊ ကတ္တားကံတို့၏-ဖြစ်-တည်-ရာ၊ ဩကာသကာရက။ (၄) အခွင်၊ အခွင့်အရေး၊ အခွင့်အလမ်း။ (၅) အချိန်အခါ၊ ကာလ၊ အတိတ် စသော ကာလ။ (၆) စျာန်။ (၇) အပြစ်။ (ကဲ့ရဲ့ ခြင်း၏တည်ရာ။)"
"Okāsa 2 (kri, vi)","ဩကာသ ၂ (ကြိ၊ ဝိ)","[အဝ+ကသ+တွာ]","[ava+kasa+tvā]","အနိုင်အထက် ဆွဲငင်၍၊ အနိုင်အထက်ပြုလျက် ဆွဲငင်၍။ ဩကဿ-ကြည့်။"
"Okāsaadāna (na)","ဩကာသအဒါန (န)","[ဩကာသ+အဒါန]","[okāsa+adāna]","အခွင့်-ဖြစ်ခွင့်-မပေးခြင်း။"
"Okāsakata (ti)","ဩကာသကတ (တိ)","[ဩကာသ+ကတ]","[okāsa+kata]","(၁) ပြုအပ်သောအခွင့်ရှိသော၊ အခွင့်ပြုသော၊ သူ။ (၂)ပြုအပ်ပြီးသောအခွင့်ရှိသော။ (က) အခွင့် (အကျိုးပေးခွင့်)ကို ပြပြီးသော (ကံ)။ (ခ) ပြုအပ်ပြီးသော အခွင့်ရှိသော-အကျိုးပေးခွင့်ရလာသော - ဝိပါက်။"
"Okāsakatuppanna (pu, na)","ဩကာသကတုပ္ပန္န (ပု၊ န)","[ဩကာသကတ + ဥပ္ပန္န]","[okāsakata + uppanna]","(က) အခွင့် (အကျိုးပေးခွင့်)ကို ပြုအပ်ပြီးသောကံ ဟူသော ဥပ္ပန္န၊ မိမိ၏ဝိပါက်၏အခွင့်ကို ပြုအပ်ပြီးသော ဥပ္ပန္န။ (ဧကန် အကျိုးပေးလတ္တံ့သော အတိတ်ကံ ရ၏။)  (ခ) ပြုအပ်ပြီးသော အခွင့်ရှိသော-အကျိုးပေးခွင့်ရလာသော - ဝိပါက်ဟူသော ဥပ္ပန္န၊ ကံသည် ပြုအပ်ပြီးသော အခွင့်ရှိသောဥပ္ပန္န။ (ဧကန် ဖြစ်တ္တံ့သော အနာဂတ်ဝိပါက်ရ၏။)"
"Okāsakamma (na)","ဩကာသကမ္မ (န)","[ဩကာသ+ကမ္မ]","[okāsa+kamma]","အခွင့်ပြုခြင်း၊ ခွင့်ပြုမှု၊ အခွင့်။ (က) ခွင့်တောင်းမှု။ (ခ) ခွင့်ပေးမှု။"
"Okāsakaraṇa (na)","ဩကာသကရဏ (န)","[ဩကာသ+ကရဏ]","[okāsa+karaṇa]","ခွင့်-အခွင့်-ပြုခြင်း။ (ခွင့်တောင်းမှုပြုခြင်း၊ ခွင့်ပေးမှုပြုခြင်း အားလုံးပါဝင်သည်။)"
"Okāsakaraṇanimitta (na)","ဩကာသကရဏနိမိတ္တ (န)","[ဩကာသ ကရဏ + နိမိတ္တ]","[okāsa karaṇa + nimitta]","ခွင့်ပြုခြင်းဟူသော အကြောင်းနိမိတ်။ အထက်ပုဒ်ကြည့်။"
"Okāsakaraṇahetu (pu)","ဩကာသကရဏဟေတု (ပု)","[ဩကာသကရဏ+ဟေတု]","[okāsakaraṇa+hetu]","ခွင့်ပြုခြင်းဟူသော အကြောင်းနိမိတ်။ ဩကာသကရဏ-ကြည့်။"
"Okāsakāla (pu)","ဩကာသကာလ (ပု)","[ဩကာသ+ကာလ]","[okāsa+kāla]","အခွင့်-နားနေခွင့်-၏ အချိန်ကာလ၊ အခွင့်-နားခွင့်-ရသောအချိန်၊ နားနေချိန်။"
"Okāsakāraṇādhippāya (ti)","ဩကာသကာရဏာဓိပ္ပါယ (တိ)","[ဩကာသကာရဏ+အဓိပ္ပါယ]","[okāsakāraṇa+adhippāya]","ခွင့်ပြုခြင်း၏ အကြောင်းကို အလိုရှိသော။"
"Okāsakicca (na)","ဩကာသကိစ္စ (န)","[ဩကာသ+ကိစ္စ]","[okāsa+kicca]","အခွင့်ပြုမှု၊ ခွင့်တောင်းမှု။ အခွင့်ကို ပြုစေခြင်း။ (မအူ၊ သျ။) ခွင့်တောင်းမှုကို ပြုဘွယ်ကိစ္စ။ (ဘာသာ၊ ဋီ။)"
"Okāsagavesaka (ti)","ဩကာသဂဝေသက (တိ)","[ဩကာသ + ဂဝေသက]","[okāsa + gavesaka]","အခွင့်ကိုရှာသော၊ သူ။"
"Okāsaggahaṇa (na)","ဩကာသဂ္ဂဟဏ (န)","[ဩကာသ+ဂဟဏ]","[okāsa+gahaṇa]","(၁) ဩကာသ-သဒ္ဒါကိုယူခြင်း။ (တိ) (၂) အခွင့်ကို-ယူ-ယူတတ်-သော။ (အခွင့်ကို ယူတတ်သည်၏အဖြစ်)။ (ဘာဝပ္ပဓာန။) ရအပ်သောအခွင့်ရှိသော။ (အဓိပ္ပါယတ္ထ။)"
"Okāsaṭṭha (pu)","ဩကာသဋ္ဌ (ပု)","[ဩကာသ+အတ္ထ]","[okāsa+attha]","အခွင့် ဟူသောအနက်။"
"Okāsaṭṭhāna (na)","ဩကာသဋ္ဌာန (န)","[ဩကာသ+ဌာန]","[okāsa+ṭhāna]","နေရာ-နေလောက်ရာ-အရပ်။"
"Okāsattika (ti)","ဩကာသတ္တိက (တိ)","[ဩကာသ+တိက]","[okāsa+tika]","အရပ်ဌာန-ဘုံ-ကို ပြရာတိတ်။ ဩကာသတိက်။"
"Okāsadāna (na)","ဩကာသဒါန (န)","[ဩကာသ + ဒါန]","[okāsa + dāna]","အခွင့်ကိုပေးခြင်း။ (အခွင့်ပြုခြင်း။)"
"Okāsadīpaka (ti)","ဩကာသဒီပက (တိ)","[ဩကာသ+ဒီပက]","[okāsa+dīpaka]","ဘုံ-အရပ်ဒေသ-ကို ပြတတ်သော။"
"Okāsadvaya (na)","ဩကာသဒွယ (န)","[ဩကာသ+ဒွယ]","[okāsa+dvaya]","တည်ရာ-ဩကာသ - (စျာနောကာသ, ဘုမ္မောကာသ) နှစ်ခုအပေါင်း။"
"Okāsaddhāna (na)","ဩကာသဒ္ဓါန (န)","[ဩကာသ+အဒ္ဓါန]","[okāsa+addhāna]","တည်ရာ-အရပ်ဒေသ-ဟူသော အဓွန့်။"
"Okāsanimitta (na)","ဩကာသနိမိတ္တ (န)","[ဩကာသ + နိမိတ္တ]","[okāsa + nimitta]","ဖြစ်ရာအရပ် ဟူသော အမှတ်အသား။"
"Okāsaniyama (pu)","ဩကာသနိယမ (ပု)","[ဩကာသ + နိယမ]","[okāsa + niyama]","အရပ် ဒေသကို သတ်မှတ်ခြင်း။"
"Okāsaniyamana (na)","ဩကာသနိယမန (န)","[ဩကာသ + နိယမန]","[okāsa + niyamana]","အရပ်ဒေသကို သတ်မှတ်ခြင်း။"
"Okāsanisedhana (na)","ဩကာသနိသေဓန (န)","[ဩကာသ + နိသေဓန]","[okāsa + nisedhana]","အခွင့်ကို တားမြစ်ခြင်း။"
"Okāsapañcaka (ti)","ဩကာသပဉ္စက (တိ)","[ဩကာသ + ပဉ္စက]","[okāsa + pañcaka]","(အတိတ်စသော) ဩကာသငါးပါးအပေါင်း။"
"Okāsapaññatti (thī)","ဩကာသပညတ္တိ (ထီ)","[ဩကာသ + ပညတ္တိ]","[okāsa + paññatti]","အရပ်ဒေေသ-ဌာန-ကို အပြားအားဖြင့် သိစေတတ်သော ပညတ်၊ ဩကာသပညတ်။"
"Okāsapaṭibāhana (na)","ဩကာသပဋိဗာဟန (န)","[ဩကာသ + ပဋိဗာဟန]","[okāsa + paṭibāhana]","အခွင့်ကို တားမြစ်ခြင်း။"
"Okāsapatta(ti)","ဩကာသပတ္တ(တိ)","[ဩကာသ + ပတ္တ]","[okāsa + patta]","(ဆင်ခြင်သုံးသပ်ခြင်း၏) အခွင့်အခါသို့ ရောက်သော။"
"Okāsaparikappa (pu)","ဩကာသပရိကပ္ပ (ပု)","[ဩကာသ + ပရိကပ္ပ]","[okāsa + parikappa]","အရပ်ဒေသကို ကြံဆခြင်း။"
"Okāsaparikappana (na)","ဩကာသပရိကပ္ပန (န)","[ဩကာသ + ပရိကပ္ပန]","[okāsa + parikappana]","အရပ်ဒေသကို ကြံဆခြင်း။"
