undefined"E 1 ","ဧ ၁ ","undefined","",""ဧ" အက္ခရာ ၊ "ဧ" သရ ။ လေးဆယ့် တစ်လုံး ( လေးဆယ်သုံးလုံး ) သော အက္ခရာ , ရှစ်လုံး ( ဆယ်လုံး ) သော သရတို့တွင် ခုနစ်လုံးမြောက် ၊ လည်ချောင်း , အာစောက် အရပ်၌ ဖြစ်သော ( ကဏ္ဌတာလုဇ ) ၊ ရှည်သော အသံဖြင့် ရွတ်ဆိုအပ်သော ( ဒီဃ ) ၊ နိဂ္ဂဟိတ် မှ တစ်ပါးသောဗျည်းတို့၏ မှီရာဖြစ်သော ( နိဿယ ) - အက္ခရာ - သရ ။ ကစ္စည်း။"
"Ekaṃsattha (pu)","ဧကံသတ္ထ (ပု)","[ ဧကံသ + အတ္ထ ]","[ ekaṃsa + attha ]","စစ် စစ် - ဧကန် အမှန်မုချ - ဟူသော အနက် ။"
"Ekaṃsapaṭipadā (thī)","ဧကံသပဋိပဒါ (ထီ)","[ ဧကံသာ + ပဋိပဒါ ]","[ ekaṃsā + paṭipadā ]","တစ်ခုသော အဖို့ရှိသော  - စင်စစ် ဧကန်မှန်သော - မချွတ်ယွင်းသော - အကျင့်။"
"Ekaṃsapārupana (na)","ဧကံသပါရုပန (န)","[  ဧကံသ + ပါရုပန ]","[ ekaṃsa + pārupana ]","တစ်ခုသော ပုခုံးစွန်း - လက်ဝဲပုခုံးစွန်း - ကို ခြုံခြင်း၊ လက်ဝဲတစ်ဘက် ပုခုံးထက်ဝယ် တင်လျက်ရုံခြင်း။"
"Ekaṃsabyākaraṇa (na)","ဧကံသဗျာကရဏ (န)","[ ဧကံသ + ဗျာကရဏ ]","[ ekaṃsa + byākaraṇa ]","(၁) တစ်ခု‌သော အဖို့အားဖြင့်  - စင်စစ် - မချွတ်မယွင်း - ဖြေဆိုခြင်း - ပြောကြားခြင်း ။ (တိ ) (၂) တစ်ခုသော အဖို့ အားဖြင့် - စင်စစ် - မချွတ်မယွင်း - ဖြေဆို ပြောကြား - သော ၊ သူ။"
"Ekaṃsabyā karaṇīya (ti)","ဧကံသဗျာ ကရဏီယ (တိ)","[ ဧကံသ + ဗျာကရ ဏီယ ။ ","[ ekaṃsa + byākara ṇīya. ","ဧကံသဗျာကရဏ + ဣယ ] တစ်ခုသော အဖို့အားဖြင့် ဖြေဆို - အပ် - သင့် - ထိုက် - သော ၊ တစ်ခုသော အဖို့အားဖြင့် ဖြေဆိုခြင်း၏ ဥစ္စာဖြစ်သော။"
"Ekaṃsabhāgiya (ti)","ဧကံသဘာဂိယ (တိ)","[ ဧကံသဘာဂ + ဣယ  ]","[ ekaṃsabhāga + iya ]","တစ်ခုသော အဖို့ရှိသော ၊ သူ။"
"Ekaṃsabhāvita (ti)","ဧကံသဘာဝိတ (တိ)","[ ဧကံသ + ဘာဝိတ  ]","[ ekaṃsa + bhāvita ]","တစ်ခုသော အဖို့ အကျိုး ငှါ ပွားများအပ်သော ၊ စင်စစ်ပွားများအပ်သော ( သမာဓိ )။"
"Ekaṃsavacana (na)","ဧကံသဝစန (န)","[ ဧကံသ + ဝစန ]","[ ekaṃsa + vacana ]","(၁) မချွတ်ဧကန်အမှန်အားဖြင့် - တစ်ခုသော အဖို့အားဖြင့် - ဆိုခြင်း ။ (၂) မချွတ် ဧကန်အမှန်ဟူသော အနက်ကို ဟောသော သဒ္ဒါ ။ (တိ) (၃) မချွတ်ဧကန်အမှန်အားဖြင့် - တစ်ခုသော အဖို့အားဖြင့် - ဆိုအပ်သော စကားရှိသော ၊ တစ်ခွန်းတည်းသော စကားရှိသော ၊ သူ။"
"Ekaṃsavaragata (ti)","ဧကံသဝရဂတ (တိ)","[  ဧကံသဝရ + ဂတ ]","[ ekaṃsavara + gata ]","မြတ်သော လက်ဝဲတစ်ဖက် ပခုံးထက် - သို့ရောက် - ၌ ဖြစ် - သော ။"
"Ekaṃsavācī (ti)","ဧကံသဝါစီ (တိ)","[  ဧကံသ + ဝစ + ဏီ ]","[ ekaṃsa + vaca + ṇī ]","စင် စစ် ဧကန် အမှန်ဟူသော အနက်ကို ဟောသော ။"
"Ekasavāda (ti)","ဧကသဝါဒ (တိ)","[ ဧကံသ + ဝါဒ ]","[ ekaṃsa + vāda ]","တစ်ခုသော အဖို့ - အားဖြင့် - ကို - ပြောဆိုတတ်သော ၊ သူ။ တစ်ဖက်သတ်‌ ပြောဆိုတတ်သော။ (သျ ) ။"
"Ekaṃsādhivacana (na)","ဧကံသာဓိဝစန (န)","[ ဧကံသ + အဓိဝစန ]","[ ekaṃsa + adhivacana ]","စင်စစ်ဧကန် အမှန်ဟူသော အနက်ကို ဟောသော သဒ္ဒါ။"
"Ekaṃsika (ti)","ဧကံသိက (တိ)","[ ဧကံသ + ဣက ]","[ ekaṃsa + ika ]","(၁) တစ်ခုသေော အဖို့အစုရှိသော ။ (ဋ္ဌ။) စင်စစ် ဧကန်အမှန်အားဖြင့် ဖြစ်သော ။ (ဋီကာ။ ) (၂) တစ်ခုသော အဖို့ကို ယူခြင်း ရှိသော ၊ သူ။ (ရတနာ သုံးပါး၌ ယုံမှားခြင်း ကင်းသော ၊ သူ။ ) (၃) တစ်ခုသော ( လက်ဝဲ ) ပုခုံး၌ - ပြုအပ် - တင်အပ်သော ( ကိုယ်ဝတ်ဧက သီသင်္ကန်း ) ။ (၄) မချွတ်မယင်း မှန်သော။"
"Ekaṃsikakāraṇa (na)","ဧကံသိကကာရဏ (န)","[ ဧကံသိက + ကာရဏ ]","[ ekaṃsika + kāraṇa ]"," မချွတ်မယင်း မှန်သော အကြောင်းတရား။"
"Ekaṃsikaggāha (pu)","ဧကံသိကဂ္ဂါဟ (ပု)","[ ဧကံသိက + ဂါဟ ]","[ ekaṃsika + gāha ]","စင်စစ် မချွတ်မယွင်း အမှန်အားဖြင့် ယူခြင်း။"
"Ekaṃsikavāda (pu)","ဧကံသိကဝါဒ (ပု)","[ ဧကံသိက + ဝါဒ ]","[ ekaṃsika + vāda ]","တစ်ခုသော အဖို့ရှိသော အယူဝါဒ ။  ( သင်္ခါရတို့၌ "အပြစ်" ဟုရူသူ ၊ နိဗ္ဗာန်ကို "အကျိုး" ဟု ရူသူသည် သံယောဇဥ်ကို ပယ်သည်။  အန္ဗက ဂိုဏ်းသားတို့က မူ  ထိုနှစ်ခုတို့တွင် -  နိဗ္ဗာန် ကို "အကျိုး" ဟု ရူသော - တစ်ခုတည်းကိုသာ ယူကြသည်။ ထို့ကြောင့် ထိုအန္ဓကဂိုဏ်း သားတို့၏ အယူဝါဒကို "ဧကံသိကဝါဒ" ဟုခေါ်သည်။ )"
"Ekaṃsikavisaya (ti)","ဧကံသိကဝိသယ (တိ)","[ ဧကံသိက + ဝိသယ ]","[ ekaṃsika + visaya ]","တစ်ခုသော အဖို့ရှိသော အာရုံရှိသော။"
"Eka 1 (ti)","ဧက ၁ (တိ)","[ ဣ + ဏွု ။ ","[ i + ṇvu. ","ဣ + က။ ဣ ဂတိယံ ၊ ဏွု ၊ ဣဿေ, အလောပေါ စ ။ ဧကော။ သဒိသရဟိတတာယ ဝါ ဧကီဘာဝေ တိဋ္ဌတီတိ ဧကော ၊ ကော။ ဓာန် ၊ ဋီ ၊ ၆၉၆ ။ ဧတိ ပဝတ္တတီတိ ဧကော၊အသဟာ ယော။ မောဂ် ၊၇။၁၄။ ] (၁) အခြားတစ်ပါး ၊ အချို့ ။ (၂) မြတ်သော ၊ အမြတ် ၊ ပဓာန ။ (၃) အဖေါ်မရှိ ၊ အဖော်မပါ ၊ တစ်ယောက်ထီးတည်း။ (၄) တစ် ၊ တစ်ခု ၊ တစ်ယောက်။ (၅) တူသော ၊ အတူ။ (၆) အတူ - တကွ - ဖြစ်ခြင်း ။ (၇) ရောနှော - ရောယှက် - သော ၊ တစ်ပေါင်းတည်းဖြစ်သော ။ (၈) သက်သက်သော ။ (၉) အတုမရှိသော ။ (၁၀) နှစ်ခုမြောက် မရှိသော  - မြတ်သော - နိဗ္ဗာန် ။ (၁၁) စင်စစ် ။ (၁၂) အသီးအခြားတစ်ခု ၊ သီးသန့် တစ်ခု ။ (၁၃) တစ်ခုသော အခါ ၊ တရံရောအခါ။"
"Eka 2 (ti)","ဧက ၂ (တိ)","[ အာမေဍိတ် (ဝိစ္ဆာ ) ၊ ဧက - တစ်ခုကျေ ။ ]","[ āmeḍita (vicchā ), eka - tacakhukye. ]","တစ်ခု တစ်ခုသော ။"
"Ekaaṃsu (pu)","ဧကအံသု (ပု)","[ ဧကံ + အံသု  ]","[ ekaṃ + aṃsu ]","တစ်ခုသော အမွေးအမျှင်။"
"Ekaagghanaka (ti)","ဧကအဂ္ဃနက (တိ)","[ ဧက + အဂ္ဃနက ]","[ eka + agghanaka ]","တစ် - အသပြာ - ကျပ် - အဖိုးထိုက်တန်သော ။"
"Ekaaujalika (pu)","ဧကအဥ္ဇလိက (ပု)","[ ယာဒိစ္ဆကနာမ်  ]","[ yādicchakanāma ]","ဧက အဥ္ဇလိက မည်သော ၊ သူ ( စကြဝတေးမင်း ။ )"
"Ekaaṭṭhakathā (thī)","ဧကအဋ္ဌကထာ (ထီ)","[ ဧကာ + အဋ္ဌကထာ ]","[ ekā + aṭṭhakathā ]","တစ်ခုသော အဋ္ဌကထာကျမ်း။"
"Ekaanāgāmikattheravatthu (na)","ဧကအနာဂါမိကတ္ထေရဝတ္ထု (န)","undefined","","သာဝတ္ထိပြည်၌ ဆရာဖြစ်သော မထေရ်ကို အတူနေတပည့်တို့က "အရှင်ဘုရား , ရအပ်ပြီးသော တရားထူးများ ရှိပါရဲ့လား" ဟု လျှောက်သော အခါ အနာဂါမ်ဖြစ်သော ထိုဆရာမထေရ်သည် "အနာဂါမိဖိုလ်သို့ လူ တို့ပင်ရောက်ကြကုန်သေး၏။ အရဟတ္တဖိုလ်သို့ရောက်မှ ပြောကြားမည်" ဟု ကြံလျက် ရှက်သဖြင့် မည်သို့မျှ မပြောကြားဘဲ ကွယ်လွန်သောအခါ သုဒ္ဓါဝါသဘုံ၌ ဖြစ်လေသည်၊ အတူနေတပည့်တို့က ငိုယိုလျက် ဘုရားရှင်ထံချဥ်းကပ်သော အခါမှ ဘုရားရှင်က အဖြစ်မှန်ကို ဟောကြားသော ဝတ္ထုဖြစ်သည်။ ဓမ္မ၊ဋ္ဌ၊၂။၁၈၈-၉။"
"Ekaasaṅkhyeyya (na)","ဧကအသင်္ချေယျ (န)","[ ဧက + အသင်္ချေယျ ]","[ eka + asaṅkhyeyya ]","တစ်ခုသော အသင်္ချေယျ (ကပ်)။"
"Ekaasaṅkhyeyya matthaka (pu,na)","ဧကအသင်္ချေယျ မတ္ထက (ပု၊န)","[ ဧကအသင်္ချေယျ + မတ္ထက ]","[ ekaasaṅkhyeyya + matthaka ]","တစ်ခုသော အသင်္ချေယျကပ်၏ အထက်။"
"Ekaassa (pu) ","ဧကအဿ (ပု) ","[ ဧက + အဿ  ]","[ eka + assa ]","မြင်း တစ်ကောင်။"
"Ekairiyāpatha (pu)","ဧကဣရိယာပထ (ပု)","[ ဧက + ဣရိယာပထ ]","[ eka + iriyāpatha ]","တစ်ခုသော ဣရိယာပုထ်။"
"Ekautusamuṭṭhāna (ti)","ဧကဥတုသမုဋ္ဌာန (တိ)","[ ဧက + ဥတုသမုဋ္ဌာန ]","[ eka + utusamuṭṭhāna ]","တစ်ခုသော - တူသော - ဥတုကြောင့် ဖြစ်သော။"
"Ekaudaka (na)","ဧကဥဒက (န)","[ ဧက + ဥဒက ]","[ eka + udaka ]","တစ်ခုသော - တစ်ကြိမ်သော - ရေ ၊ တစ်ကြိမ်သွင်းသော ရေ။"
"Ekaupacārasīmā (thī)","ဧကဥပစာရသီမာ (ထီ)","[ ဧကာ + ဥပစာရသီမာ ]","[ ekā + upacārasīmā ]","တစ်ခုသော ဥပစာရသိမ်။"
"Ekaupasagga (pu)","ဧကဥပသဂ္ဂ (ပု)","[ ဧက + ဥပသဂ္ဂ ]","[ eka + upasagga ]","တစ်ခုသော ဥပသာရပုဒ်။"
"Ekaumaṅga (pu)","ဧကဥမင်္ဂ (ပု)","[ ဧက + ဥမင်္ဂ ]","[ eka + umaṅga ]","တစ်ခုသော ဥမင် လိုဏ်ခေါင်း။"
"Ekausabhagāmi (ti)","ဧကဥသဘဂါမိ (တိ)","[ ဧကဥသဘ + ဂမု + ဏီ ]","[ ekausabha + gamu + ṇī ]","တစ်ဥသဘ - သို့ - တိုင်အောင် - ရောက်သော ၊ တစ်ခုသဘ အကွာအဝေးသို့ ရောက်သော (မြား)။"
"Ekaoṭṭha (pu)","ဧကဩဋ္ဌ (ပု)","[ ဧက + ဩဋ္ဌ ]","[ eka + oṭṭha ]","တစ်ခုသော နှုတ်ခမ်း။"
"Ekaka (ti)","ဧကက  (တိ)","[  ဧက - နောင် က-လာ။ ","[ eka - noṅa ka-lā. ","ကစ္စည်း ။ ၁၇၈ ။ ရူ ၊ ၂၂၄ ၊နီတိ ။ ပဒ ။ ၃၇၆ ။ ဧက + က။ မောဂ် ၊ ၄ ၊ ၅၅ ။ ထီ၌ ဧကိကာ။ ] (၁) အဖေါ်မပါ တစ်ယောက်ထီးတည်း။ (၂) အခြားတပါး။ (၃) တစ်ခု တစ်ခုသော  အတိုင်းအရှည်ရှိသော။"
"Ekakaṭacchubhikkhā (thī)","ဧကကဋစ္ဆုဘိက္ခာ (ထီ)","[ ဧကကဋစ္ဆု + ဘိက္ခာ ]","[ ekakaṭacchu + bhikkhā ]","တစ်ဇွန်း - တစ်ယောက်ချို - ရှိသော ဆွမ်း။"
"Ekakaṇṇikā (thi )","ဧကကဏ္ဏိကာ (ထိ )","[ ဧကာ + ကဏ္ဏိကာ ]","[ ekā + kaṇṇikā ]","တစ်ခု သော - အထွတ် - အချက် ။"
"Ekakaṇthikābaddha (ti)","ဧကကဏ္ထိကာဗဒ္ဓ (တိ)","[ ဧကကဏ္ဏိကာ + အာဗဒ္ဓ ]","[ ekakaṇṇikā + ābaddha ]","တစ်ခုသော အထွတ်အချက်ဖြင့် ဖွဲ့အပ်သော။"
"Ekakanipāta (pu)","ဧကကနိပါတ (ပု)","[ ဧကက + နိပါတ  ]","[ ekaka + nipāta ]","ဧကကနိ ပါတ် - ဧကနိပါတ် - ပါဠိတော်။ ဧကနိပါတ-လည်းကြည့်။"
"Ekakanipātapāḷi (thī)","ဧကကနိပါတပါဠိ (ထီ)","[ ဧကကနိပါတ + ပါဠိ ]","[ ekakanipāta + pāḷi ]","ဧကကနိပါတ်ပါဠိတော်။"
"Ekakanipātavaṇthanā (thī)","ဧကကနိပါတဝဏ္ထနာ (ထီ)","[ ဧကကနိပါတ + ဝဏ္ဏနာ ]","[ ekakanipāta + vaṇṇanā ]","ဧကကနိပါတ်၏-အဖွင့် - အဋ္ဌကထာ ။"
"Ekakapva (pu)","ဧကကပွ (ပု)","[ ဧက + ကပ္ပ ]","[ eka + kappa ]","(၁) တစ်ခုသော - ကပ် - ကမ္ဘာ။ (၂) တစ်ခုတစ်ခုသော ကပ်။ "
"Ekakabaḷa (la) (pu)","ဧကကဗဠ (လ) (ပု)","[ ဧက + ကဗဋ္ဌ (လ) ]","[ eka + kabaṭṭha (la) ]","တစ်ခုသော အလုပ်အလွေ့ ၊ ( ထမင်း ) တစ်လုပ်။"
"Ekakabbala ( pu, na )","ဧကကဗ္ဗလ (  ပု ၊ န )","[ ဧက + ကဗ္ဗလ + ဒါန ။ ","[ eka + kabbala + dāna. ","ဒါန - ပုဒ်ကြေ။ ] တစ်ခုသော ကမ္ဗလာ - ကမ္ဗလာ တစ်ထည် - အလှူ ။ "
"Ekakamma (na)","ဧကကမ္မ (န)","[ ဧက + ကမ္မ ]","[ eka + kamma ]","(၁) တပေါင်းတည်ပြုအပ်သော - ကံ - သဃကံ ။ ( တစ်သိမ်တည်း ၌ တည်နေသော ပကတတ်ရဟန်းတို့ ပြုအပ်သော သံဃကံလေးပါး။) (၂) တစ်ခုသော သံဃကံ ။ (၃) တစ်ခုသော - ကံ - စေတနာ။"
"Ekakammaṭṭhāna (na)","ဧကကမ္မဋ္ဌာန (န)","[ ဧက + ကမ္ဗဋ္ဌာန ]","[ eka + kambaṭṭhāna ]","တစ်ခုသော ကမ္မဋ္ဌာန်း၊ ကမ္မဋ္ဌာန်းတစ်ခု ။"
"Ekakammanibbatta (ti)","ဧကကမ္မနိဗ္ဗတ္တ (တိ)","[ ဧကကမ္မ + နိဗ္ဗတ္တ ]","[ ekakamma + nibbatta ]","တစ်ခုသော - ကံ - စေတနာ - ကြောင့်ဖြစ်သော။"
"Ekakammanibbattita (ti)","ဧကကမ္မနိဗ္ဗတ္တိတ (တိ)","[ ဧကကမ္မ + နိဗ္ဗတ္တိတ ]","[ ekakamma + nibbattita ]","တစ်ခုသော ကံ - စေတနာ - သည် ဖြစ်စေအပ်သော။"
"Ekakammapasiddhi (thī)","ဧကကမ္မပသိဒ္ဓိ (ထီ)","[  ဧကကမ္မ + ပသိဒ္ဓိ ]","[ ekakamma + pasiddhi ]","တစ်ခုသော သံဃကံ၏ ပြီးခြင်း။"
"Ekakammavācā (thī)","ဧကကမ္မဝါစာ (ထီ)","[  ဧကာ + ကမ္မဝါစာ  ]","[ ekā + kammavācā ]","တစ်ခုသော - တစ်ကြိမ်သေော - ကမ္မဝါစာ။"
"Ekakarīsa (pu,na )","ဧကကရီသ (ပု ၊န )","[ ဧက + ကရီသ ]","[ eka + karīsa ]","တစ်ခုသော ပယ် ၊ တစ်ပယ်။"
"Ekakarī sakhetta (na)","ဧကကရီ သခေတ္တ (န)","[ ဧကကရီသ + ခေတ္တ ]","[ ekakarīsa + khetta ]","တစ်ပယ်အတိုင်း အရှည်ရှိသော လယ်။"
"Ekakarīsappamāṇa (ti)","ဧကကရီသပ္ပမာဏ (တိ)","[ ဧကကရီသ + ပမာဏ]","[ ekakarīsa + pamāṇa]","တစ်ပယ်အတိုင်း အရှည် ရှိ သော ။"
"Ekakarīsamatta (ti )","ဧကကရီသမတ္တ (တိ )","[ ဧကကရီသ + မတ္တ ]","[ ekakarīsa + matta ]","တစ်ပယ်အတိုင်းအရှည် ရှိသော  ၊ တစ်ပယ်မျှရှိသော။"
"Ekakalala (na)","ဧကကလလ (န)","[ ဧက + ကလလ  ]","[ eka + kalala ]","တစ်ခဲနက်သော ရွှံ့ညွန်ပျောင်း ၊ တစ်ပေါင်းတည်းသော ညွန် ။ ( ဇာတ်ဝတ္ထု ။ )"
"Ekakalāpa (pu)","ဧကကလာပ (ပု)","[ ဧက + ကလာပ ]","[ eka + kalāpa ]","တစ်ခုသော - ကလာပ် - ရုပ်ကလာပ်။ ရုပ်ကလာပ် - ရုပ်အစည်း - တစ်ခု ။"
"Ekakalāpariyāpanna (ti)","ဧကကလာပရိယာပန္န (တိ)","[ ဧကကလာပ + ပရိယာပန္န ]","[ ekakalāpa + pariyāpanna ]","တစ်ခုသော ရုပ် ကလာပ်၌ - အကျုံး - အတွင်း - ဝင်သော ။"
"Ekakalāpapavatti (ti)","ဧကကလာပပဝတ္တိ (တိ)","[ ဧကကလာပ + ပဝတ္တိ ]","[ ekakalāpa + pavatti ]","တစ်ခုသော ရုပ်ကလာပ်၌ ဖြစ်ခြင်း ရှိသော ။"
"Ekakalāpavutti (ti)","ဧကကလာပဝုတ္တိ (တိ)","[ ဧကကလာပ + ဝုတ္တိ ]","[ ekakalāpa + vutti ]","တစ်ခုသော ရုပ်ကလာပ်၌ ဖြစ်ခြင်း ရှိသော ။"
"Ekakavihāra (pu)","ဧကကဝိဟာရ (ပု)","[ ဧကက + ဝိဟာရ ]","[ ekaka + vihāra ]","တစ်ယောက်ထီးတည်းနေခြင်း။"
"Ekakasiṇaparikamma (na)","ဧကကသိဏပရိကမ္မ (န)","[ ဧက + ကသိဏပရိကမ္မ ]","[ eka + kasiṇaparikamma ]","တစ်ခုသော ကသိုဏ်း ပရိကမ်။"
"Ekakahāpaṇa (pu,na)","ဧကကဟာပဏ (ပု၊န)","[ ဧက + ကဟာပဏ ]","[ eka + kahāpaṇa ]","တစ်ခုသော - အသပြာ - ကျပ် ။"
"Ekakāma (pu)","ဧကကာမ (ပု)","[ ဧက +  ကာမ ]","[ eka + kāma ]","တစ်ခုသေော - ကာမ - ကာမဂုဏ်။"
"Ekakāraṇa (na)","ဧကကာရဏ (န)","[ ဧက + ကာရဏ  ]","[ eka + kāraṇa ]","တစ်ခု သော အကြောင်းတရား။"
"Ekakāraṇaniddesa (pu)","ဧကကာရဏနိဒ္ဒေသ (ပု)","[ ဧကကာရဏ + နိဒ္ဒေသ ]","[ ekakāraṇa + niddesa ]","တစ်ခုသော အကြောင်းကို ညွန်ပြခြင်း။"
"Ekakāraṇavāda ( pu)","ဧကကာရဏဝါဒ ( ပု)","[ ဧကကာရဏ + ဝါဒ ]","[ ekakāraṇa + vāda ]","" တစ်ခုသော 'ပကတိ' (ဝါ) ' ဖန်ဆင်းရှင်' ဟူသော အကြောင်းရှိ၏" ဟု ပြောဆို ကြောင်း အယူဝါဒ ။ ( " လောကသည် ' ပကတိ' ဟူသော အကြောင်းတစ်ခုကြောင့် (ဝါ) ' ဗြဟ္မာ' ဟူသော အကြောင်းတစ်ခုကြောင့် (ဝါ) " ပဇာပတိ" ဟူသော အကြောင်းတစ်ခုကြောင့် ဖြစ်ပေါ်လာသည်" စသည်ဖြင့် ပြောဆိုသူတို့၏ အယူဝါဒ ။ )"
"Ekakāla (pu)","ဧကကာလ (ပု)","[ ဧက + ကာလ ]","[ eka + kāla ]","(၁) တစ်ခုသော အချိန်အခါ ကာလ ၊ တစ်ပြိုင်နက်သော ကာလ ။ (၂) တူသော အချိန်ကာလ။"
"Ekakālasanthāna (ti)","ဧကကာလသန္ထာန (တိ)","[ ဧက + ကာလသန္တာန   ]","[ eka + kālasantāna  ]","တူ သော ကာလ တူသော သန္တာန် ရှိသော။"
"Ekakālasamavadhāna (na)","ဧကကာလသမဝဓာန (န)","[ ဧကကာလ +  သမဝဓာန  ]","[ ekakāla + samavadhāna ]","တစ်ခုသော ကာလ၌ - တစ်ချိန်တည်း ၌ - ဖြစ်တည်ခြင်း။"
"Ekakālika (ti)","ဧကကာလိက (တိ)","[ ဧကကာလ + ဣက  ]","[ ekakāla + ika ]","တူသော ကာလရှိသော။"
"Ekakāsāvapajjota (ti)","ဧကကာသာဝပဇ္ဇောတ (တိ)","[ ဧကကာသာဝ + ပဇ္ဇောတ  ]","[ ekakāsāva + pajjota ]","တစ်ခဲနက် သင်္ကန်းရောင်ဖြင့် - သင်္ကန်းရောင် တစ်ရောင်တည်းဖြင့် - ထွန်းလင်း တောက်ပသော။"
"Ekakicca (na)","ဧကကိစ္စ (န)","[ ဧက + ကိစ္စ  ]","[ eka + kicca ]","တစ်ခုသော အ မှုု ကိစ္စ ။ (တိ) (၂) တူသော ကိစ္စရှိသော ။"
"Ekakicca ṭṭha (pu)","ဧကကိစ္စ ဋ္ဌ (ပု)","[ ဧကကိစ္စ + အတ္ထ ]","[ ekakicca + attha ]","တစ်ခုတည်းသော - ကိစ္စ - အရသာ - ရှိသည်၏ အဖြစ်ဟူသော အနက်သဘော။ဧကရသဋ္ဌ-ကြည့်။"
"Ekakiriya (ti)","ဧကကိရိယ (တိ)","[ ဧက + ကိရိယ ]","[ eka + kiriya ]","အတူတကွ - တစ်ပေါင်းတည်း - ပြုခြင်း ရှိသော  ၊ သူ ။"
"Ekakiya (ti)","ဧကကိယ (တိ)","[ ဧကက + ဣယ ]","[ ekaka + iya ]","တစ်ယောက်ထီးတည်း ။"
